Simon, Herbert A.
Jain, Anil K.
Shenker, Scott
Sejnowski, Terrence
Garcia-Molina, Hector
Kanade, Takeo
Han, Jiawei
Poggio, Tomaso
Haussler, David
Thrun, Sebastian
Foster, Ian
Jordan, Michael I.
Salzberg, Steven
Zisserman, Andrew
Aalst, Wil van der
Yu, Philip S.
Estrin, Deborah
Papadimitriou, Christos H.
Pentland, Alex
Giannakis, Georgios
Jennings, Nick
Dongarra, Jack
Gerla, Mario
Dubois, Didier
Osher, Stanley
Grossberg, Stephen
Towsley, Don
Szalay, Alex
Zadeh, Lotfi
Schölkopf, Bernhard
Ullman, Jeffrey D.
Vetterli, Martin
Gool, Luc Van
Balakrishnan, Hari
Stankovic, John A.
Katz, Randy H.
Sangiovanni-Vincentelli, Alberto
Faugeras, Olivier
Goldberg, David E.
Herrera, Francisco
Hinton, Geoffrey E.
Prade, Henri
Sastry, Shankar
Zhang, HongJiang
Deb, Kalyanmoy
Jajodia, Sushil
Horowitz, Mark
Tarjan, Robert
Agrawal, Rakesh
Kumar, Vipin
Sheth, Amit
Shneiderman, Ben
Vardi, Moshe Y.
Akyildiz, Ian F.
Bellare, Mihir
Buyya, Rajkumar
Levy], Alon Halevy [Alon
Koller, Daphne
Srivastava, Mani B.
Widom, Jennifer
Chellappa, Rama
Henzinger, Thomas A.
Finin, Tim
Patterson, David A.
Yannakakis, Mihalis
Abadi, Martin
Huang, Thomas S.
Zhang, Lixia
Golub, Gene H.
Szeliski, Richard
Kennedy, Ken
Motwani, Rajeev
Shah, Mubarak
Pedrycz, Witold
Croft, W. Bruce
Glover, Fred
Knuth, Donald E.
Seidel, Hans-Peter
Blake, Andrew
Horrocks, Ian
Kraut, Robert
Micheli, Giovanni De
Mukherjee, Biswanath
Nayar, Shree
Rost, Burkhard
Ayache, Nicholas
Dorigo, Marco
Garcia-Luna-Aceves, Jose Joaquin
Manocha, Dinesh
Smola, Alexander J.
Lam, Monica S.
Malik, Jitendra
Rosenfeld, Azriel
Terzopoulos, Demetri
Yager, Ronald
Baraniuk, Richard
Chen, Hsinchun
Culler, David
Fagin, Ronald
Gray, Jim
Karger, David
Pearl, Judea
Poor, H. Vincent
Raghavan, Prabhakar
Shamir, Adi
Trivedi, Kishor S.
Winograd, Terry
Anderson, Thomas
Bezdek, James
Kleinberg, Jon
Nahrstedt, Klara
Pevzner, Pavel
Abiteboul, Serge
Gross, Markus
Horvitz, Eric
Mangasarian, Olvi L.
Paxson, Vern
Rivest, Ronald L.
Shin, Kang G.
Sontag, Eduardo
Neumann, John von
Baldi, Pierre
Chandrakasan, Anantha
Chang, Shih-Fu
Freeman, William
Govindan, Ramesh
Kahng, Andrew B.
Smith, Barry
Taylor, Chris
Waibel, Alex
Bertino, Elisa
Boneh, Dan
Dally, William
Hebert, Martial
Müller, Klaus-Robert
Mylopoulos, John
Newell, Allen
Vitter, Jeffrey
Wooldridge, Michael
Burgard, Wolfram
Gupta, Anoop
Hubaux, Jean-Pierre
Joshi, Anupam
