Achlioptas, Panos
Althoff, Tim
Anderson, Ashton
Britz, Denny
Cheng, Justin
Das Sarma, Akash
Garcia-Molina, Hector
Guo, Tai
Hallac, David
Joglekar, Manas
Khan, Asif
Krevl, Andrej
Leskovec, Jure
Lofgren, Peter
McAuley, Julian
Myers, Seth
Paepcke, Andreas
Pandey, Rahul
Perez, Yonathan
Rajaraman, Anand
Re, Chris
Salihoglu, Semih
Shahaf, Dafna
Shan, Zifei
Shin, Jaeho
Siroker, Marianne
Soparkar, Kedar
Sosic, Rok
Ullman, Jeff
Verroios, Vasilis
Vesdapunt, Norases
West, Bob
Westwood, Sophia
Widom, Jennifer
Wiederhold, Gio
Zhang, Ce
