Aiken, Alex
Batzoglou, Serafim
Bejerano, Gill
Bernstein, Michael
Boneh, Dan
Cheriton, David
Cooper, Steve
Dally, Bill
Dill, David
Dror, Ron
Engler, Dawson
Fedkiw, Ron
Garcia-Molina, Hector
Genesereth, Mike
Guibas, Leonidas
Hanrahan, Patrick
Hennessy, John
Horowitz, Mark
Katti, Sachin
Khatib, Oussama
Koller, Daphne
Kozyrakis, Christos
Kundaje, Anshul
Lam, Monica
Landay, James
Leskovec, Jure
Levis, Philip
Levoy, Marc
Li, Fei-Fei
Liang, Percy
Manning, Chris
Mazieres, David
McKeown, Nick
Mitchell, John
Mitra, Subhasish
Ng, Andrew
Olukotun, Kunle
Ousterhout, John
Prabhakar, Balaji
Re, Chris
Roberts, Eric
Rosenblum, Mendel
Roughgarden, Tim
Sahami, Mehran
Salisbury, Ken
Savarese, Silvio
Shoham, Yoav
Thrun, Sebastian
Trevisan, Luca
Valiant, Greg
Widom, Jennifer
Williams, Ryan
Williams, Virginia
Feigenbaum, Edward
Fikes, Richard
Knuth, Don
Latombe, Jean-Claude
McCluskey, Edward
Meng, Teresa
Nilsson, Nils
Plotkin, Serge
Pratt, Vaughan
Ullman, Jeff
Wiederhold, Gio
Winograd, Terry
Altman, Russ
Blikstein, Paulo
Boyd, Stephen
Butte, Atul
Fischer, Martin
Goel, Ashish
Goodman, Noah
Johari, Ramesh
Jurafsky, Dan
Kochenderfer, Mykel
Levitt, Michael
Mackey, Lester
Montgomery, Stephen
Okamura, Allison
Pande, Vijay
Pea, Roy
Tobagi, Fouad
VanRoy, Benjamin
Wang, Ge
Cao, Pei
Card, Stu
Casado, Martin
Dean, Tom
Koltun, Vladlen
Konolige, Kurt
MacCartney, Bill
Raghavan, Prabhakar
Barrett, Clark
Hochstein, Axel
Klemmer, Scott
Markovic, Dejan
Pohlmann, Norbert
